id,title,url,score,by,comments,time
48302745,Can we have the day off?,https://mlsu.io/posts/day-off/,834,mlsu,496,2026-05-28 00:40
48296794,I think Anthropic and OpenAI have found product-market fit,https://simonwillison.net/2026/May/27/product-market-fit/,751,simonw,910,2026-05-27 16:39
48296649,DuckDuckGo search saw 28% more visits after Google said people love AI mode,https://www.pcgamer.com/hardware/duckduckgos-ai-free-search-saw-nearly-28-percent-more-visits-in-the-week-following-googles-insistence-that-people-love-ai-mode/,746,HelloUsername,367,2026-05-27 16:28
48295892,Last.fm is now independent,https://support.last.fm/t/last-fm-is-now-independent/118591,696,twistslider,186,2026-05-27 15:36
48299753,YouTube to automatically label AI-generated videos,https://blog.youtube/news-and-events/improving-ai-labels-viewers-creators/,693,nopg,404,2026-05-27 20:00
48295679,Tech CEOs are apparently suffering from AI psychosis,https://techcrunch.com/2026/05/27/tech-ceos-are-apparently-suffering-from-ai-psychosis/,623,IAmGraydon,312,2026-05-27 15:20
48292941,Private equity bought America's essential services,https://rubbishtalk.com/economy/how-private-equity-bought-americas-essential-services/,495,NoRagrets,513,2026-05-27 12:00
48296994,Canada to order military plane fleet from Sweden in shift from US suppliers,https://www.theguardian.com/world/2026/may/27/canada-sweden-saab-globaleye-aircraft,482,tosh,341,2026-05-27 16:53
48291225,All of human cooking compressed into 2 megabytes,https://arxiv.org/abs/2605.22391,396,josefchen,159,2026-05-27 08:14
48289950,"Claude Code as a Daily Driver: Claude.md, Skills, Subagents, Plugins, and MCPs",https://arps18.github.io/posts/claude-code-mastery/,389,arps18,232,2026-05-27 05:13
48297645,SimCity 3k in 4k (2025),https://www.thran.uk/writ/hdid/2025/12/simcity-3k-in-4k.html,324,speckx,122,2026-05-27 17:36
48293080,"Incident with Pull Requests, Issues, Git Operations and API Requests",https://www.githubstatus.com/incidents/xy1tt3hs572m,282,maxnoe,193,2026-05-27 12:15
48284711,The Melancholy of Slaying Monsters,https://thereader.mitpress.mit.edu/the-strange-melancholy-of-slaying-monsters/,273,prismatic,139,2026-05-26 19:25
48291947,Mini Micro Fantasy Computer,https://miniscript.org/MiniMicro/index.html#about,243,nicoloren,80,2026-05-27 09:56
48299220,What Apple and Google are doing to push notifications,https://www.jacquescorbytuech.com/writing/what-apple-and-google-are-doing-your-push-notifications,226,iamacyborg,229,2026-05-27 19:24
48291575,Go: Support for Generic Methods,https://github.com/golang/go/issues/77273,222,f311a,168,2026-05-27 09:02
48302151,FBI Arrests CIA Official with $40M in Gold Bars in His Home,https://www.nytimes.com/2026/05/27/us/politics/fbi-arrest-cia-official-gold-bars.html,218,cwwc,126,2026-05-27 23:23
48247005,Matrix Multiplications on GPUs Run Faster When Given “Predictable” Data (2024),https://www.thonking.ai/p/strangely-matrix-multiplications,161,tosh,46,2026-05-23 12:11
48299638,"I'm Getting into Mesh Networks (Meshtastic, MeshCore, and Reticulum)",https://www.jonaharagon.com/posts/im-getting-into-mesh-networks-meshtastic-meshcore-and-reticulum/,135,Panda_,45,2026-05-27 19:52
48277723,Raft Consensus with a Minority of Nodes,https://padhye.org/raft-minority/,128,moarbugs,18,2026-05-26 10:30
48299623,Rust (and Slint) on a Jailbroken Kindle,https://sverre.me/blog/rust-on-kindle/,127,homarp,14,2026-05-27 19:51
48254336,Human Bottlenecks,https://borretti.me/article/human-bottlenecks,112,zdw,36,2026-05-24 04:19
48297467,"Gemini, Gophers, and Fingers. Oh My Alternative Internets Beyond HTTPS",https://brennan.day/gemini-gophers-and-fingers-oh-my-alternative-internets-beyond-https/,106,ChrisArchitect,51,2026-05-27 17:24
48296622,"Stress disrupts hippocampal integration of overlapping events, memory inference",https://www.science.org/doi/10.1126/sciadv.aea5496?user_id=66c4bf745d78644b3aa57b08,103,gmays,16,2026-05-27 16:26
48302822,Google employee charged with $1M Polymarket insider trading bet on search term,https://www.cnbc.com/2026/05/27/google-employee-polymarket-insider-trading.html,102,pseudolus,49,2026-05-28 00:49
48272763,What Is a Direct Attach Copper (DAC) Cable? (2021),https://www.servethehome.com/what-is-a-direct-attach-copper-dac-cable/,101,teleforce,82,2026-05-25 22:43
48295071,"Show HN: Open-source Workspace (mail,docs,spreadsheet,drive) web/iOS",https://tinycld.org/,83,nathanstitt,32,2026-05-27 14:36
48299335,On Labubu and the Hyperreal,https://2earth.github.io/website/20260525.html,77,2earth,85,2026-05-27 19:31
48304260,Hallucinate – Massively Multiplayer Online Rave,https://hallucinate.site,72,stagas,31,2026-05-28 03:50
48294791,Show HN: I made an emergency page for my family,https://help.delduca.org,69,delduca,93,2026-05-27 14:18
48268185,My new obsession: A horse-racing board game of pure luck,https://alexanderbjoy.com/horse-race-board-game/,65,surprisetalk,42,2026-05-25 15:45
48275255,A New Typst Template for Pandoc (2025),https://imaginarytext.ca/posts/2025/typst-templates-for-pandoc/,54,ankitg12,8,2026-05-26 05:08
48300342,Warm up your MacBook (2019),https://z3ugma.github.io/2019/11/18/warm-up-your-macbook/,54,kristianp,51,2026-05-27 20:42
48276429,Investigating how prompt politeness affects LLM accuracy (2025),https://arxiv.org/abs/2510.04950,52,KnuthIsGod,51,2026-05-26 07:43
48280356,Interleaved Deltas,https://mmapped.blog/posts/51-interleaved-deltas,52,surprisetalk,0,2026-05-26 14:30
