full_name,description,language,stars,forks,stars_today,url
harry0703/MoneyPrinterTurbo,利用AI大模型，一键生成高清短视频 Generate short videos with one click using AI LLM.,Python,63268,9209,"1,742 stars today",https://github.com/harry0703/MoneyPrinterTurbo
Lum1104/Understand-Anything,"Graphs that teach > graphs that impress. Turn any code into an interactive knowledge graph you can explore, search, and ask questions about. Works with Claude Code, Codex, Cursor, Copilot, Gemini CLI, and more.",TypeScript,40759,3262,"4,465 stars today",https://github.com/Lum1104/Understand-Anything
hardikpandya/stop-slop,A skill file for removing AI tells from prose,Unknown,5885,438,664 stars today,https://github.com/hardikpandya/stop-slop
affaan-m/ECC,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",JavaScript,196313,30205,"2,062 stars today",https://github.com/affaan-m/ECC
anthropics/knowledge-work-plugins,Open source repository of plugins primarily intended for knowledge workers to use in Claude Cowork,Python,17421,2033,695 stars today,https://github.com/anthropics/knowledge-work-plugins
Leonxlnx/taste-skill,"Taste-Skill - gives your AI good taste. stops the AI from generating boring, generic slop",Shell,24764,1899,"2,715 stars today",https://github.com/Leonxlnx/taste-skill
p-e-w/heretic,Fully automatic censorship removal for language models,Python,22112,2357,211 stars today,https://github.com/p-e-w/heretic
shiyu-coder/Kronos,Kronos: A Foundation Model for the Language of Financial Markets,Python,26971,4668,401 stars today,https://github.com/shiyu-coder/Kronos
mukul975/Anthropic-Cybersecurity-Skills,"754 structured cybersecurity skills for AI agents · Mapped to 5 frameworks: MITRE ATT&CK, NIST CSF 2.0, MITRE ATLAS, D3FEND & NIST AI RMF · agentskills.io standard · Works with Claude Code, GitHub Copilot, Codex CLI, Cursor, Gemini CLI & 20+ platforms · 26 security domains · Apache 2.0",Python,11146,1266,886 stars today,https://github.com/mukul975/Anthropic-Cybersecurity-Skills
twentyhq/twenty,"The open alternative to Salesforce, designed for AI.",TypeScript,47438,6732,519 stars today,https://github.com/twentyhq/twenty
Chachamaru127/claude-code-harness,Claude Code Dedicated Development Harness - Achieving High-Quality Development Through an Autonomous Plan→Work→Review Cycle,Shell,1950,207,87 stars today,https://github.com/Chachamaru127/claude-code-harness
DigitalPlatDev/FreeDomain,DigitalPlat FreeDomain: Free Domain For Everyone,HTML,169515,3226,"2,222 stars today",https://github.com/DigitalPlatDev/FreeDomain
obra/superpowers,An agentic skills framework & software development methodology that works.,Shell,209919,18706,"1,511 stars today",https://github.com/obra/superpowers
byoungd/English-level-up-tips,An advanced guide to learn English which might benefit you a lot 🎉 . 离谱的英语学习指南/英语学习教程/英语学习/学英语,Unknown,47196,4959,"1,163 stars today",https://github.com/byoungd/English-level-up-tips
iii-hq/iii,"Effortlessly compose, extend, and observe every service in real-time for the first time ever.",Rust,16968,1114,376 stars today,https://github.com/iii-hq/iii
Axorax/awesome-free-apps,Curated list of the best free apps for PC and mobile,JavaScript,6017,299,728 stars today,https://github.com/Axorax/awesome-free-apps
moeru-ai/airi,"💖🧸 Self hosted, you-owned Grok Companion, a container of souls of waifu, cyber livings to bring them into our worlds, wishing to achieve Neuro-sama's altitude. Capable of realtime voice chat, Minecraft, Factorio playing. Web / macOS / Windows supported.",TypeScript,40313,4048,72 stars today,https://github.com/moeru-ai/airi
