full_name,description,language,stars,forks,stars_today,url
rohitg00/ai-engineering-from-scratch,Learn it. Build it. Ship it for others.,Python,22895,3731,"12,787 stars this week",https://github.com/rohitg00/ai-engineering-from-scratch
anthropics/knowledge-work-plugins,Open source repository of plugins primarily intended for knowledge workers to use in Claude Cowork,Python,17421,2033,"4,718 stars this week",https://github.com/anthropics/knowledge-work-plugins
Imbad0202/academic-research-skills,Academic Research Skills for Claude Code: research → write → review → revise → finalize,Python,22920,1925,"7,385 stars this week",https://github.com/Imbad0202/academic-research-skills
HKUDS/ViMax,"""ViMax: Agentic Video Generation (Director, Screenwriter, Producer, and Video Generator All-in-One)""",Python,7850,1216,"1,940 stars this week",https://github.com/HKUDS/ViMax
dograh-hq/dograh,"Open source voice AI platform. Self-hosted alternative to Vapi and Retell. On Prem, BYOK across Speech to Speech or LLM/STT/TTS, with a visual workflow builder, MCP native and telephony support.",Python,3452,733,997 stars this week,https://github.com/dograh-hq/dograh
mukul975/Anthropic-Cybersecurity-Skills,"754 structured cybersecurity skills for AI agents · Mapped to 5 frameworks: MITRE ATT&CK, NIST CSF 2.0, MITRE ATLAS, D3FEND & NIST AI RMF · agentskills.io standard · Works with Claude Code, GitHub Copilot, Codex CLI, Cursor, Gemini CLI & 20+ platforms · 26 security domains · Apache 2.0",Python,11146,1266,"4,170 stars this week",https://github.com/mukul975/Anthropic-Cybersecurity-Skills
harry0703/MoneyPrinterTurbo,利用AI大模型，一键生成高清短视频 Generate short videos with one click using AI LLM.,Python,63268,9209,"3,495 stars this week",https://github.com/harry0703/MoneyPrinterTurbo
aiming-lab/AutoResearchClaw,Fully autonomous & self-evolving research from idea to paper. Chat an Idea. Get a Paper. 🦞,Python,12887,1502,451 stars this week,https://github.com/aiming-lab/AutoResearchClaw
NVlabs/Sana,SANA: Efficient High-Resolution Image Synthesis with Linear Diffusion Transformer,Python,7777,597,629 stars this week,https://github.com/NVlabs/Sana
HKUDS/CLI-Anything,"""CLI-Anything: Making ALL Software Agent-Native"" -- CLI-Hub:https://clianything.cc/",Python,40934,3870,"2,602 stars this week",https://github.com/HKUDS/CLI-Anything
plastic-labs/honcho,Memory library for building stateful agents,Python,4409,509,708 stars this week,https://github.com/plastic-labs/honcho
microsoft/agent-governance-toolkit,"AI Agent Governance Toolkit — Policy enforcement, zero-trust identity, execution sandboxing, and reliability engineering for autonomous AI agents. Covers 10/10 OWASP Agentic Top 10.",Python,3005,469,"1,314 stars this week",https://github.com/microsoft/agent-governance-toolkit
openai/skills,Skills Catalog for Codex,Python,20609,1375,883 stars this week,https://github.com/openai/skills
CloakHQ/CloakBrowser,Stealth Chromium that passes every bot detection test. Drop-in Playwright replacement with source-level fingerprint patches. 30/30 tests passed.,Python,21845,1742,"4,427 stars this week",https://github.com/CloakHQ/CloakBrowser
openai/whisper,Robust Speech Recognition via Large-Scale Weak Supervision,Python,100750,12334,902 stars this week,https://github.com/openai/whisper
yt-dlp/yt-dlp,A feature-rich command-line audio/video downloader,Python,166147,13968,"2,844 stars this week",https://github.com/yt-dlp/yt-dlp
anthropics/claude-plugins-official,"Official, Anthropic-managed directory of high quality Claude Code Plugins.",Python,28280,3012,"7,703 stars this week",https://github.com/anthropics/claude-plugins-official
p-e-w/heretic,Fully automatic censorship removal for language models,Python,22112,2357,804 stars this week,https://github.com/p-e-w/heretic
RyanCodrai/turbovec,"A vector index built on TurboQuant, written in Rust with Python bindings",Python,3319,292,"1,955 stars this week",https://github.com/RyanCodrai/turbovec
